Province/State,Country/Region,Lat,Long,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/01/20,5/02/20,5/03/20,5/04/20,5/05/20,5/06/20,5/07/20,5/08/20,5/09/20,05/10/20,05/11/20,05/12/20,05/13/20,05/14/20,05/15/20,05/16/20,05/17/20,05/18/20,05/19/20,05/20/20,05/21/20,05/22/20,05/23/20,05/24/20,05/25/20,05/26/20,05/27/20,05/28/20,05/29/20,05/30/20,05/31/20,06/01/20,06/02/20,06/03/20,06/04/20,06/05/20,06/06/20,06/07/20,06/08/20,06/09/20,06/10/20,06/11/20,06/12/20,06/13/20,06/14/20,06/15/20,06/16/20,06/17/20,06/18/20,06/19/20,06/20/20,06/21/20,06/22/20,06/23/20,06/24/20,06/25/20,06/26/20,06/27/20,06/28/20,06/29/20,06/30/20,07/01/20,07/02/20,07/03/20,07/04/20,07/05/20,07/06/20,07/07/20,07/08/20,07/09/20,07/10/20,07/11/20,07/12/20,07/13/20,07/14/20,07/15/20,07/16/20,07/17/20,07/18/20,07/19/20,07/20/20,07/21/20,07/22/20,07/23/20,07/24/20,07/25/20,07/26/20,07/27/20,07/28/20,07/29/20,07/30/20,07/31/20,08/01/20,08/02/20,08/03/20,08/04/20
Provincia de Buenos Aires,Argentina,-34.603722,-58.381592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,3,1,0,1,1,1,6,15,9,15,8,5,30,30,27,36,8,16,36,17,10,36,22,26,33,12,34,34,28,19,37,28,29,66,62,30,34,31,48,42,60,61,84,61,94,56,50,48,103,66,34,45,38,38,58,63,50,77,60,51,44,80,96,79,86,97,74,93,157,178,213,266,289,196,159,236,315,299,273,296,254,252,488,442,422,371,457,375,344,545,621,756,744,849,635,552,797,799,1106,1118,1013,746,1037,1334,1463,1482,1692,1423,1225,1279,1374,1671,1733,1849,1517,1564,1476,1476,2222,2372,2118,2113,1633,2002,2262,2734,2545,3002,1817,2761,2556,3477,3801,4300,3790,0,2917,3351,4167,3852,4415,3911,3586,3797,3158,4337
Catamarca,Argentina,-27.1910825,-67.105374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,1,0,21,10,0,1,0,0,0,2,0,14,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Chaco,Argentina,-26.3829647,-60.8816092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,2,2,3,1,1,2,1,5,7,4,9,12,3,3,5,4,12,3,12,3,8,8,0,4,4,4,6,5,0,1,3,31,7,11,22,24,5,5,5,7,10,7,7,3,10,0,4,3,12,11,5,5,11,8,26,26,9,32,17,10,18,9,25,21,19,13,34,35,34,27,7,20,9,23,16,28,26,24,13,3,30,6,53,29,19,18,45,28,45,48,39,49,27,38,23,20,68,31,24,52,20,55,37,61,52,76,47,37,70,60,81,37,53,47,26,26,59,30,50,56,25,25,72,77,42,65,60,48,30,35,73,51,63,0,66,32,18,52,93,58,59,33,31,53
Chubut,Argentina,-43.7128356,-68.7461817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,2,0,0,0,1,0,3,1,5,1,4,1,3,9,3,23,8,0,11,3,2,4,3,3,4,1,9,1,5,1,7,4,6,7,4,5,4,8,11,17,4,6,11,7,1,5,0,6,9,1,7,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Córdoba,Argentina,-31.4173391,-64.183319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,2,1,3,5,4,8,3,7,15,3,5,1,18,8,14,6,16,14,3,5,7,4,4,5,13,32,5,9,12,18,19,19,8,13,11,0,4,6,3,1,3,0,2,1,2,13,12,1,7,1,6,3,2,6,11,14,3,11,5,3,9,20,20,9,2,12,9,0,6,3,0,0,-1,0,0,2,0,1,1,2,2,0,0,1,2,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0
Corrientes,Argentina,-28.5912315,-57.9394658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,2,4,1,10,1,1,1,0,0,0,2,0,0,0,0,0,0,7,1,-1,0,0,0,0,3,0,0,1,4,1,6,0,1,0,1,1,0,0,0,-1,3,1,1,1,0,16,1,5,3,0,0,0,-1,0,0,0,0,0,0,0,0,2,2,4,3,0,6,0,3,0,0,0,0,0,1,0,3,0,1,2,1,1,2,1,5,2,0,1,0,-2,0,0,1,0,2,0,1,0,0,0,1,1,1,4,0,-1,2,-1,0,2,0,2,0,1,-1,0,1,1,0,0,5,2,14,-6,16,3,3,25,4,-2,-4
Entre Ríos,Argentina,-31.6252842,-59.3539578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,3,0,3,0,0,3,0,1,2,2,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,2,0,1,0,0,0,0,0,0,0,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,2,0,4,10,2,2,2,4,6,4,2,15,2,12,5,6,4,19,10,16,17,24,17,19,12,24,5,6,9,14,11,5,6,5,10,0,21,25,31,61,42,22,9,10,24,15,16,18,7,7,0,0,18,21,4,4,15,20,9,14,20,29,22
Formosa,Argentina,-24.5955306,-60.4289718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0
Jujuy,Argentina,-23.3161458,-65.7595288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,3,1,0,0,2,2,26,1,3,27,0,26,6,17,14,20,14,1,29,29,38,52,23,59,68,5,16,50,22,107,17,6,84,120,155,158,155,0,46,92,158,172,161,238,85,38,102,269
La Pampa,Argentina,-36.6148,-64.2849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
