Provincia,Dia,Confirmados,Muertes,Recuperados,Total Confirmados,Total Muertes,Total Recuperados
Catamarca,1/22/20,0,0,0,0,0,0
Catamarca,1/23/20,0,0,0,0,0,0
Catamarca,1/24/20,0,0,0,0,0,0
Catamarca,1/25/20,0,0,0,0,0,0
Catamarca,1/26/20,0,0,0,0,0,0
Catamarca,1/27/20,0,0,0,0,0,0
Catamarca,1/28/20,0,0,0,0,0,0
Catamarca,1/29/20,0,0,0,0,0,0
Catamarca,1/30/20,0,0,0,0,0,0
Catamarca,1/31/20,0,0,0,0,0,0
Catamarca,2/1/20,0,0,0,0,0,0
Catamarca,2/2/20,0,0,0,0,0,0
Catamarca,2/3/20,0,0,0,0,0,0
Catamarca,2/4/20,0,0,0,0,0,0
Catamarca,2/5/20,0,0,0,0,0,0
Catamarca,2/6/20,0,0,0,0,0,0
Catamarca,2/7/20,0,0,0,0,0,0
Catamarca,2/8/20,0,0,0,0,0,0
Catamarca,2/9/20,0,0,0,0,0,0
Catamarca,2/10/20,0,0,0,0,0,0
Catamarca,2/11/20,0,0,0,0,0,0
Catamarca,2/12/20,0,0,0,0,0,0
Catamarca,2/13/20,0,0,0,0,0,0
Catamarca,2/14/20,0,0,0,0,0,0
Catamarca,2/15/20,0,0,0,0,0,0
Catamarca,2/16/20,0,0,0,0,0,0
Catamarca,2/17/20,0,0,0,0,0,0
Catamarca,2/18/20,0,0,0,0,0,0
Catamarca,2/19/20,0,0,0,0,0,0
Catamarca,2/20/20,0,0,0,0,0,0
Catamarca,2/21/20,0,0,0,0,0,0
Catamarca,2/22/20,0,0,0,0,0,0
Catamarca,2/23/20,0,0,0,0,0,0
Catamarca,2/24/20,0,0,0,0,0,0
Catamarca,2/25/20,0,0,0,0,0,0
Catamarca,2/26/20,0,0,0,0,0,0
Catamarca,2/27/20,0,0,0,0,0,0
Catamarca,2/28/20,0,0,0,0,0,0
Catamarca,2/29/20,0,0,0,0,0,0
Catamarca,3/1/20,0,0,0,0,0,0
Catamarca,3/2/20,0,0,0,0,0,0
Catamarca,3/3/20,0,0,0,0,0,0
Catamarca,3/4/20,0,0,0,0,0,0
Catamarca,3/5/20,0,0,0,0,0,0
Catamarca,3/6/20,0,0,0,0,0,0
Catamarca,3/7/20,0,0,0,0,0,0
Catamarca,3/8/20,0,0,0,0,0,0
Catamarca,3/9/20,0,0,0,0,0,0
Catamarca,3/10/20,0,0,0,0,0,0
Catamarca,3/11/20,0,0,0,0,0,0
Catamarca,3/12/20,0,0,0,0,0,0
Catamarca,3/13/20,0,0,0,0,0,0
Catamarca,3/14/20,0,0,0,0,0,0
Catamarca,3/15/20,0,0,0,0,0,0
Catamarca,3/16/20,0,0,0,0,0,0
Catamarca,3/17/20,0,0,0,0,0,0
Catamarca,3/18/20,0,0,0,0,0,0
Catamarca,3/19/20,0,0,0,0,0,0
Catamarca,3/20/20,0,0,0,0,0,0
Catamarca,3/21/20,0,0,0,0,0,0
Catamarca,3/22/20,0,0,0,0,0,0
Catamarca,3/23/20,0,0,0,0,0,0
Catamarca,3/24/20,0,0,0,0,0,0
Catamarca,3/25/20,0,0,0,0,0,0
Catamarca,3/26/20,0,0,0,0,0,0
Catamarca,3/27/20,0,0,0,0,0,0
Catamarca,3/28/20,0,0,0,0,0,0
Catamarca,3/29/20,0,0,0,0,0,0
Catamarca,3/30/20,0,0,0,0,0,0
Catamarca,3/31/20,0,0,0,0,0,0
Catamarca,4/1/20,0,0,0,0,0,0
Catamarca,4/2/20,0,0,0,0,0,0
Catamarca,4/3/20,0,0,0,0,0,0
Catamarca,4/4/20,0,0,0,0,0,0
Catamarca,4/5/20,0,0,0,0,0,0
Catamarca,4/6/20,0,0,0,0,0,0
Catamarca,4/7/20,0,0,0,0,0,0
Catamarca,4/8/20,0,0,0,0,0,0
Catamarca,4/9/20,0,0,0,0,0,0
Catamarca,4/10/20,0,0,0,0,0,0
Catamarca,4/11/20,0,0,0,0,0,0
Catamarca,4/12/20,0,0,0,0,0,0
Catamarca,4/13/20,0,0,0,0,0,0
Catamarca,4/14/20,0,0,0,0,0,0
Catamarca,4/15/20,0,0,0,0,0,0
Catamarca,4/16/20,0,0,0,0,0,0
Catamarca,4/17/20,0,0,0,0,0,0
Catamarca,4/18/20,0,0,0,0,0,0
Catamarca,4/19/20,0,0,0,0,0,0
Catamarca,4/20/20,0,0,0,0,0,0
Chaco,1/22/20,0,0,0,0,0,0
